Year,Rank,Song,Artist,track_id,danceability,energy,speechiness,loudness,temp,valence
2022,51,Boyfriend,Dove Cameron,23eLvOQ3JxtdhRi9YyxRKQ,0.345,0.612,0.0608,-6.543,179.773,0.232
2022,52,Glimpse of Us,Joji,6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,0.0531,-9.258,169.914,0.268
2022,53,Surface Pressure,Jessica Darrow,760jhRscwGbIIe1m1IIQpU,0.65,0.584,0.307,-8.286,180.088,0.37
2022,54,Fall in Love,Bailey Zimmerman,0rCFRyEy4WXjRXNpO80Dzs,0.524,0.643,0.0297,-6.055,135.962,0.397
2022,55,Love Nwantiti (Ah Ah Ah),CKay,2Xr1dTzJee307rmrkt8c0g,0.727,0.739,0.0411,-3.805,93.005,0.533
2022,56,Super Freaky Girl,Nicki Minaj,4C6Uex2ILwJi9sZXRdmqXp,0.95,0.891,0.241,-2.653,133.01,0.912
2022,57,Hrs and Hrs,Muni Long,3ncmoWTwJgx63LwMTyBCXf,0.523,0.521,0.159,-4.746,133.953,0.661
2022,58,Sand in My Boots,Morgan Wallen,0uRrG2jRR5tuifsYIJHEao,0.403,0.537,0.031,-6.628,69.877,0.414
2022,59,Mamiii,Becky G ,7FlQk2gJ6TBrHHiidvdR2O,0.836,0.703,0.0657,-3.554,94.048,0.902
2022,60,Knife Talk,Drake,2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,0.324,-9.579,145.887,0.153
2022,61,AA,Walker Hayes,6aIrXGmaFqPafbYgxbMUsj,0.634,0.764,0.0297,-5.858,104.03,0.736
2022,62,Sweetest Pie,Megan Thee Stallion ,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,0.221,-7.178,123.977,0.677
2022,63,Provenza,Karol G,3HqcNJdZ2seoGxhn0wVNDK,0.863,0.502,0.0496,-7.912,111.029,0.567
2022,64,Essence,Wizkid ,5FG7Tl93LdH117jEKYl3Cm,0.849,0.707,0.113,-6.002,104.027,0.602
2022,65,All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,0.0384,-7.463,150.273,0.35
2022,66,Bam Bam,Camila Cabello ,0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,0.0401,-6.377,94.996,0.956
2022,67,5 Foot 9,Tyler Hubbard,0U4iRayct65wsaBMQGiLbg,0.605,0.79,0.0454,-5.576,105.997,0.507
2022,68,Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,0.912,0.655,0.162,-6.029,91.942,0.793
2022,69,Efecto,Bad Bunny,5Eax0qFko2dh7Rl2lYs3bx,0.801,0.475,0.0516,-8.797,98.047,0.234
2022,70,Rock and a Hard Place,Bailey Zimmerman,1TE8AAk9koG0UJco6ZAUfx,0.582,0.568,0.0275,-7.3,121.991,0.394
2022,71,Doin' This,Luke Combs,6TpyujRefwsflWFXbmjVpj,0.588,0.55,0.0269,-5.878,115.01,0.39
2022,72,Oh My God,Adele,3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,0.046,-3.906,88.098,0.55
2022,73,Better Days,Neiked,6f5ExP43esnvdKPddwKXJH,0.717,0.671,0.0337,-5.077,110.054,0.699
2022,74,Meet Me at Our Spot,Willow ,07MDkzWARZaLEdKxo6yArG,0.773,0.47,0.0299,-7.93,94.995,0.399
2022,75,Fingers Crossed,Lauren Spencer-Smith,4wH7ZoqgETaACS9BlUkvuY,0.56,0.473,0.0533,-7.23,109.414,0.441
2022,76,All Too Well (Taylor's Version),Taylor Swift,5enxwA8aAbwZbf5qCHORXi,0.631,0.518,0.0303,-8.771,93.023,0.205
2022,77,Party,Bad Bunny ,4tYFy8ALRjIZvnvSLw5lxN,0.829,0.799,0.0897,-5.389,97.013,0.471
2022,78,Después de la Playa,Bad Bunny,1dm6z1fWB0cErMszU25dy2,0.564,0.903,0.307,-3.221,78.293,0.607
2022,79,You Should Probably Leave,Chris Stapleton,2UikqkwBv7aIvlixeVXHWt,0.602,0.477,0.032,-8.425,183.89,0.552
